DATAFLOW,FREQ,GEO_PICT,VISITOR_DURATION_CAT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,ERROR_TYPE,ERROR_VAL,REPORTING_TYPE,OBS_COMMENT
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,1995,318000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,1996,340000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,1997,359000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,1998,371000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,1999,410000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2000,294000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2001,348000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2002,398000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2003,431000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2004,504000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2005,545000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2006,549000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2007,540000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2008,585000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2009,542000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2010,632000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2011,675000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2012,661000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2013,659000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2014,693000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2015,755000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2016,792000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2017,843000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2018,870000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2019,894000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2020,146900,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2021,32000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2022,636300,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2023,929740,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,TOUR,2024,928938,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,EXCR,1995,158000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,EXCR,1996,194000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,EXCR,1997,188000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,EXCR,1998,128000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,EXCR,1999,134000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,EXCR,2000,140000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,EXCR,2001,98000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,EXCR,2002,63000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,EXCR,2003,20000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,EXCR,2004,9000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,EXCR,2005,2000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,EXCR,2007,2000,,N,,,,
SPC:DF_TOURISM_ARRIVALS(1.0),A,FJ,EXCR,2008,42000,,N,,,,
