year,arrivals,geo_code,geography,unit,source_id,is_preliminary,note
1995,318000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
1996,340000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
1997,359000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
1998,371000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
1999,410000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2000,294000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2001,348000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2002,398000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2003,431000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2004,504000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2005,545000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2006,549000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2007,540000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2008,585000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2009,542000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2010,632000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2011,675000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2012,661000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2013,659000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2014,693000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2015,755000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2016,792000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2017,843000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2018,870000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2019,894000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2020,146900,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2021,32000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2022,636300,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2023,929740,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2024,928938,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2025,986367,FJ,Fiji,N,fiji-stats-provisional-2025,TRUE,Provisional annual visitor arrivals published January 18 2026.
