DATAFLOW,FREQ,CLIMATE_CHANGE_INDICATORS,GEO_PICT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,ERROR_TYPE,ERROR_VAL,REPORTING_TYPE,OBS_COMMENT
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,1995,476000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,1996,534000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,1997,547000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,1998,499000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,1999,544000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2000,434000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2001,446000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2002,461000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2003,451000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2004,513000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2005,547000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2007,542000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2008,627000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2009,605000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2010,692000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2011,734000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2012,741000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2013,769000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2014,781000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2015,869000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2016,963000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2017,1027000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2018,1058000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2019,969000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2020,168200,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2021,32000,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2022,652200,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2023,929740,,N,,,,
SPC:DF_CLIMATE_CHANGE(1.0),A,TRSM_ARR,FJ,2024,928938,,N,,,,
