year,arrivals,geo_code,geography,unit,source_id,is_preliminary,note
1995,476000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
1996,534000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
1997,547000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
1998,499000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
1999,544000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2000,434000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2001,446000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2002,461000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2003,451000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2004,513000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2005,547000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2006,548589,FJ,Fiji,N,fiji-stats-supplemental,FALSE,"Exact national total from Fiji Bureau of Statistics; replaces the rounded 549,000 value in the Pacific Data Hub dataset."
2007,542000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2008,627000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2009,605000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2010,692000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2011,734000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2012,741000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2013,768500,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2014,780600,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2015,869000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2016,963000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2017,1027000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2018,1058000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2019,969000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2020,168200,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2021,32000,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2022,652200,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2023,929740,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2024,928938,FJ,Fiji,N,spc-tourism-arrivals,FALSE,
2025,986367,FJ,Fiji,N,fiji-stats-preliminary-2025,TRUE,Provisional annual visitor arrivals published January 18 2026.
