year,arrivals,geo_code,geography,unit,source_id,is_preliminary,note
1995,476000,FJ,Fiji,N,spc-climate-change,FALSE,
1996,534000,FJ,Fiji,N,spc-climate-change,FALSE,
1997,547000,FJ,Fiji,N,spc-climate-change,FALSE,
1998,499000,FJ,Fiji,N,spc-climate-change,FALSE,
1999,544000,FJ,Fiji,N,spc-climate-change,FALSE,
2000,434000,FJ,Fiji,N,spc-climate-change,FALSE,
2001,446000,FJ,Fiji,N,spc-climate-change,FALSE,
2002,461000,FJ,Fiji,N,spc-climate-change,FALSE,
2003,451000,FJ,Fiji,N,spc-climate-change,FALSE,
2004,513000,FJ,Fiji,N,spc-climate-change,FALSE,
2005,547000,FJ,Fiji,N,spc-climate-change,FALSE,
2006,548589,FJ,Fiji,N,fiji-stats-supplemental,FALSE,Missing from the Pacific Data Hub extract; supplemented from the Fiji Bureau of Statistics visitor-arrivals table.
2007,542000,FJ,Fiji,N,spc-climate-change,FALSE,
2008,627000,FJ,Fiji,N,spc-climate-change,FALSE,
2009,605000,FJ,Fiji,N,spc-climate-change,FALSE,
2010,692000,FJ,Fiji,N,spc-climate-change,FALSE,
2011,734000,FJ,Fiji,N,spc-climate-change,FALSE,
2012,741000,FJ,Fiji,N,spc-climate-change,FALSE,
2013,769000,FJ,Fiji,N,spc-climate-change,FALSE,
2014,781000,FJ,Fiji,N,spc-climate-change,FALSE,
2015,869000,FJ,Fiji,N,spc-climate-change,FALSE,
2016,963000,FJ,Fiji,N,spc-climate-change,FALSE,
2017,1027000,FJ,Fiji,N,spc-climate-change,FALSE,
2018,1058000,FJ,Fiji,N,spc-climate-change,FALSE,
2019,969000,FJ,Fiji,N,spc-climate-change,FALSE,
2020,168200,FJ,Fiji,N,spc-climate-change,FALSE,
2021,32000,FJ,Fiji,N,spc-climate-change,FALSE,
2022,652200,FJ,Fiji,N,spc-climate-change,FALSE,
2023,929740,FJ,Fiji,N,spc-climate-change,FALSE,
2024,928938,FJ,Fiji,N,spc-climate-change,FALSE,
2025,986367,FJ,Fiji,N,fiji-stats-preliminary-2025,TRUE,Provisional annual visitor arrivals published January 18 2026.
